goods_code	supplementary_unit	description
41071211	MTK	square meter
41071219	MTK	square meter
41071291	MTK	square meter
41071299	MTK	square meter
41071910	MTK	square meter
41071990	MTK	square meter
41079190	MTK	square meter
41079210	MTK	square meter
41079290	MTK	square meter
41079910	MTK	square meter
41079990	MTK	square meter
41120000	MTK	square meter
41131000	MTK	square meter
41132000	MTK	square meter
41133000	MTK	square meter
41139000	MTK	square meter
41141010	NAR	number of items
41141090	NAR	number of items
41142000	MTK	square meter
42021110	NAR	number of items
42021211	NAR	number of items
42021291	NAR	number of items
42022100	NAR	number of items
42022210	NAR	number of items
42022290	NAR	number of items
42022900	NAR	number of items
42032100	NPR	number of pairs
42032910	NPR	number of pairs
42032990	NPR	number of pairs
43011000	NAR	number of items
43013000	NAR	number of items
43016000	NAR	number of items
43021100	NAR	number of items
43021915	NAR	number of items
43021935	NAR	number of items
43021941	NAR	number of items
43021949	NAR	number of items
43021975	NAR	number of items
43021980	NAR	number of items
43023025	NAR	number of items
43023051	NAR	number of items
43023055	NAR	number of items
44031100	MTQ	cubic meter
44031200	MTQ	cubic meter
44032110	MTQ	cubic meter
44032190	MTQ	cubic meter
44032200	MTQ	cubic meter
44032310	MTQ	cubic meter
44032390	MTQ	cubic meter
44032400	MTQ	cubic meter
44032510	MTQ	cubic meter
44032590	MTQ	cubic meter
44032600	MTQ	cubic meter
44034100	MTQ	cubic meter
44034910	MTQ	cubic meter
44034935	MTQ	cubic meter
44034985	MTQ	cubic meter
44039100	MTQ	cubic meter
44039300	MTQ	cubic meter
44039400	MTQ	cubic meter
44039510	MTQ	cubic meter
44039590	MTQ	cubic meter
44039600	MTQ	cubic meter
44039700	MTQ	cubic meter
44039800	MTQ	cubic meter
44039900	MTQ	cubic meter
44061100	MTQ	cubic meter
44061200	MTQ	cubic meter
44069100	MTQ	cubic meter
44069200	MTQ	cubic meter
44071110	MTQ	cubic meter
44071120	MTQ	cubic meter
44071190	MTQ	cubic meter
44071210	MTQ	cubic meter
44071220	MTQ	cubic meter
44071290	MTQ	cubic meter
44071910	MTQ	cubic meter
44071920	MTQ	cubic meter
44071990	MTQ	cubic meter
44072110	MTQ	cubic meter
44072191	MTQ	cubic meter
44072199	MTQ	cubic meter
44072210	MTQ	cubic meter
44072291	MTQ	cubic meter
44072299	MTQ	cubic meter
44072510	MTQ	cubic meter
44072530	MTQ	cubic meter
44072550	MTQ	cubic meter
44072590	MTQ	cubic meter
44072610	MTQ	cubic meter
44072630	MTQ	cubic meter
44072650	MTQ	cubic meter
44072690	MTQ	cubic meter
